start,end,speaker
0.03096875,1.7522187500000002,SPEAKER_03
2.6634687500000003,3.9290937500000003,SPEAKER_03
4.806593750000001,6.40971875,SPEAKER_03
7.11846875,9.919718750000001,SPEAKER_00
9.531593750000003,16.51784375,SPEAKER_01
16.51784375,18.289718750000002,SPEAKER_02
19.01534375,19.977218750000002,SPEAKER_02
20.80409375,22.06971875,SPEAKER_02
23.04846875,23.70659375,SPEAKER_03
24.516593750000002,27.250343750000003,SPEAKER_03
28.02659375,31.840343750000002,SPEAKER_03
32.59971875,34.10159375,SPEAKER_03
34.82721875,47.77034375,SPEAKER_00
47.77034375,58.03034375,SPEAKER_01
58.03034375,62.14784375000001,SPEAKER_00
62.14784375000001,64.25721875,SPEAKER_02
65.10096875,71.58096875000001,SPEAKER_02
71.58096875000001,71.59784375000001,SPEAKER_03
72.55971875,73.45409375,SPEAKER_03
74.26409375,79.98471875,SPEAKER_03
80.71034375,89.90721875,SPEAKER_01
89.80596875,92.57346875,SPEAKER_03
93.34971875000001,102.31034375,SPEAKER_00
102.31034375,106.36034375000001,SPEAKER_02
107.01846875000001,108.84096875,SPEAKER_02
109.53284375000001,113.26221875,SPEAKER_02
114.07221875,114.08909375,SPEAKER_02
114.08909375,115.25346875000001,SPEAKER_03
116.11409375000001,117.53159375000001,SPEAKER_03
118.24034375000001,125.47971875,SPEAKER_01
125.47971875,128.60159375,SPEAKER_03
129.47909375,130.71096875,SPEAKER_03
131.60534375,132.93846875,SPEAKER_00
135.14909375000002,142.18596875,SPEAKER_00
142.25346875,145.71284375000002,SPEAKER_02
146.59034375000002,147.97409375,SPEAKER_02
147.97409375,147.99096875,SPEAKER_03
148.93596875,151.83846875,SPEAKER_03
152.59784375,154.35284375,SPEAKER_03
155.24721875,157.89659375000002,SPEAKER_03
158.65596875,163.63409375,SPEAKER_03
164.47784375,170.24909375000001,SPEAKER_02
171.19409375,180.40784375,SPEAKER_01
180.40784375,188.49096875,SPEAKER_00
188.47409375,189.53721875000002,SPEAKER_03
190.46534375000002,193.50284375,SPEAKER_03
194.26221875000002,197.53596875000002,SPEAKER_01
197.51909375000002,203.03721875000002,SPEAKER_03
203.89784375000002,208.15034375000002,SPEAKER_03
208.97721875000002,215.37284375000002,SPEAKER_03
216.13221875000002,219.37221875,SPEAKER_03
220.28346875000003,221.49846875,SPEAKER_03
222.52784375000002,223.43909375,SPEAKER_03
